index,Rótulos de Linha,cleaned_text,Contagem de Publication Number
218,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA,BR | CIRINO ALBERTO GOULART EIRELI EPP (BIOGENETICS),BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
219,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA,BR | FAPEMIG-FUNDAÇÃO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
220,"UNIVERSIDADE FEDERAL DE UBERLANDIA,BR | FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
221,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA,BR | FUNDAÇÃO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,2
222,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA,BR | FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS - FAPEMIG,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
223,"Universidade Federal de Uberlândia,BR | Fundação de Amparo À Pesquisa do Estado de Minas Gerais,BR | Imunoscan Engenharia Molecular Ltda-ME,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
224,"Universidade Federal de Uberlândia,BR | Fundação de Amparo à Pesquisa do Estado de Minas Gerais,BR | Universidade Federal de Ouro Preto,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
225,"Universidade Federal de Uberlandia,BR | Fundachaodeamparoapesquisaduestadodminasgerais-Papemig,BR | 우니베르시다데 페데랄 데 우베르란디아,BR | 펀다차오 데 암파로 에이 페스끼사 두 에스타도 드 미나스 게라이스 - 파페미그,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
226,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA,BR | IMUNOSCAN ENGENHARIA MOLECULAR LTDA,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,2
227,"Universidade Federal de Uberlândia,BR | Imunoscan Engenharia Molecular Ltda-Me,BR | FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
228,"UNIVERSIDADE FEDERAL DE UBERLÂNDIA,BR | UNIVERSIDADE FEDERAL DE MINAS GERAIS,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
229,"Universidade Federal de Uberlândia,Uberlândia,BR | Cirino Alberto Goulart EIRELI EPP (Biogenetics),Uberlândia,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
230,"Universidade Federal de Uberlândia,Uberlândia,BR | Fundação de Amparo a Pesquisa do Estado de Minas Gerais - FAPEMIG,Belo Horizonte,BR",UNIVERSIDADE_FEDERAL_DE_UBERLANDIA,1
231,"Universidade Federal De Viçosa,BR",UNIVERSIDADE_FEDERAL_DE_VICOSA,2
232,"UNIVERSIDADE FEDERAL DE VIÇOSA,BR | FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DE MINAS GERAIS,BR",UNIVERSIDADE_FEDERAL_DE_VICOSA,1
233,"UNIVERSIDADE FEDERAL DE VIÇOSA,BR | FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO DO MINAS GERAIS - FAPEMIG,BR",UNIVERSIDADE_FEDERAL_DE_VICOSA,1
234,"UNIVERSIDADE FEDERAL DE VIÇOSA,BR | UNIVERSIDADE FEDERAL DE JUIZ DE FORA,BR",UNIVERSIDADE_FEDERAL_DE_VICOSA,1
235,"UNIVERSIDADE FEDERAL DE VIÇOSA,BR | UNIVERSIDADE FEDERAL DE MINAS GERAIS,BR | SOCIEDADE EDUCACIONAL UBERABENSE,BR",UNIVERSIDADE_FEDERAL_DE_VICOSA,1
